"","AKFIN_SURVEY_YEAR","MAT_SEX","mean_lat","mean_lon","sum_CPUE","chk_lat","chk_lon","mean_weighted_lat","mean_weighted_lon","shrt"
"1",1979,"Immature Female",56.9456787407407,-163.862469037037,55169.2493851457,56.8480707775434,-161.154048092765,56.8480707775434,-161.154048092765,"'79"
"2",1979,"Immature Male",56.9456787407407,-163.862469037037,83188.5419139831,56.7359568529021,-162.106986725462,56.7359568529021,-162.106986725462,"'79"
"3",1979,"Legal Male",56.9456787407407,-163.862469037037,58958.4746504413,56.647978195305,-164.483850188239,56.647978195305,-164.483850188239,"'79"
"4",1979,"Mature Female",56.9456787407407,-163.862469037037,144370.206431594,56.8844797504848,-162.634489320049,56.8844797504848,-162.634489320049,"'79"
"5",1980,"Immature Female",56.9432096296296,-163.866666592593,85105.5492441487,56.8968230484501,-160.387340707726,56.8968230484501,-160.387340707726,"'80"
"6",1980,"Immature Male",56.9432096296296,-163.866666592593,175283.452858931,56.8587731043125,-161.340176515029,56.8587731043125,-161.340176515029,"'80"
"7",1980,"Legal Male",56.9432096296296,-163.866666592593,92777.8877580298,56.9048674000085,-163.664089236282,56.9048674000085,-163.664089236282,"'80"
"8",1980,"Mature Female",56.9432096296296,-163.866666592593,217652.906760271,56.565884372238,-161.711936760464,56.565884372238,-161.711936760464,"'80"
"9",1981,"Immature Female",56.8989896969697,-164.006439242424,31662.3653140313,57.2180754100817,-161.115747645942,57.2180754100817,-161.115747645942,"'81"
"10",1981,"Immature Male",56.8989896969697,-164.006439242424,99416.5497305768,57.2206472799107,-161.841401567394,57.2206472799107,-161.841401567394,"'81"
"11",1981,"Legal Male",56.8989896969697,-164.006439242424,23414.9110894853,57.2511322390745,-162.496380025235,57.2511322390745,-162.496380025235,"'81"
"12",1981,"Mature Female",56.8989896969697,-164.006439242424,141271.454701394,57.3468661461902,-161.712432080151,57.3468661461902,-161.712432080151,"'81"
"13",1982,"Immature Female",56.9473681954887,-163.86240593985,177777.439308956,56.8221233028631,-161.307646779053,56.8221233028631,-161.307646779053,"'82"
"14",1982,"Immature Male",56.9473681954887,-163.86240593985,272395.262603711,56.8833326067875,-161.658251646737,56.8833326067875,-161.658251646737,"'82"
"15",1982,"Legal Male",56.9473681954887,-163.86240593985,9834.01137545581,57.4022976137046,-162.751466456901,57.4022976137046,-162.751466456901,"'82"
"16",1982,"Mature Female",56.9473681954887,-163.86240593985,129979.255724443,57.1137814205451,-161.826523758943,57.1137814205451,-161.826523758943,"'82"
"17",1983,"Immature Female",56.9289213235294,-163.871936176471,59304.7601566419,57.284113644612,-160.786041064992,57.284113644612,-160.786041064992,"'83"
"18",1983,"Immature Male",56.9289213235294,-163.871936176471,115223.489605107,57.2337052587267,-161.158757925315,57.2337052587267,-161.158757925315,"'83"
"19",1983,"Legal Male",56.9289213235294,-163.871936176471,3209.72770485363,57.5471890935361,-162.552764578941,57.5471890935361,-162.552764578941,"'83"
"20",1983,"Mature Female",56.9289213235294,-163.871936176471,21657.9439884876,57.4648213469657,-161.665976045792,57.4648213469657,-161.665976045792,"'83"
"21",1984,"Immature Female",56.9289213235294,-163.871936176471,273871.027038326,57.2596305078713,-160.436931876491,57.2596305078713,-160.436931876491,"'84"
"22",1984,"Immature Male",56.9289213235294,-163.871936176471,411222.387136483,57.2014732564764,-160.598736575336,57.2014732564764,-160.598736575336,"'84"
"23",1984,"Legal Male",56.9289213235294,-163.871936176471,8330.49146103461,57.1632749896381,-161.470812668832,57.1632749896381,-161.470812668832,"'84"
"24",1984,"Mature Female",56.9289213235294,-163.871936176471,68390.5288844071,57.0972651110872,-161.073220900311,57.0972651110872,-161.073220900311,"'84"
"25",1985,"Immature Female",56.9432096296296,-163.866666592593,10605.4010885928,56.6310711918181,-162.00435944049,56.6310711918181,-162.00435944049,"'85"
"26",1985,"Immature Male",56.9432096296296,-163.866666592593,41619.8027107966,56.7309508946284,-162.044921830581,56.7309508946284,-162.044921830581,"'85"
"27",1985,"Legal Male",56.9432096296296,-163.866666592593,5739.85857426029,56.9001760983216,-162.275314621654,56.9001760983216,-162.275314621654,"'85"
"28",1985,"Mature Female",56.9432096296296,-163.866666592593,20750.6652348783,56.9363260983041,-161.478402818358,56.9363260983041,-161.478402818358,"'85"
"29",1986,"Immature Female",56.9432096296296,-163.866666592593,12931.2955360249,57.2811672194191,-161.700667800597,57.2811672194191,-161.700667800597,"'86"
"30",1986,"Immature Male",56.9432096296296,-163.866666592593,37712.4210293846,56.8651872964832,-162.602106298028,56.8651872964832,-162.602106298028,"'86"
"31",1986,"Legal Male",56.9432096296296,-163.866666592593,13801.5650860706,56.7331677908202,-162.939257530835,56.7331677908202,-162.939257530835,"'86"
"32",1986,"Mature Female",56.9432096296296,-163.866666592593,15829.3664380022,56.877227051286,-161.383537788019,56.877227051286,-161.383537788019,"'86"
